City,Price,Area,Location,bhk,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,Intercom,ClubHouse,24X7Security,CarParking,WashingMachine,Gasconnection,LiftAvailable
Bangalore,30000000,3340,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,0,0,1
Bangalore,7888000,1045,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4866000,1179,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,8358000,1675,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6845000,1670,Kengeri,3,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6797000,1220,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,20000000,2502,Thanisandra,4,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,7105000,1438,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,8405000,1405,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,3506000,660,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7700000,1362,Yelahanka,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9369000,1735,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8716000,1575,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,5394000,1120,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6367000,1415,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,5080000,1270,Bommasandra,2,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,7209999,1311,Bellandur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,5700000,1210,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,30000000,3340,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,0,0,1
Bangalore,7888000,1045,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4866000,1179,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,8358000,1675,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6845000,1670,Kengeri,3,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6797000,1220,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,20000000,2502,Thanisandra,4,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,7105000,1438,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,8405000,1405,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,3506000,660,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7700000,1362,Yelahanka,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9369000,1735,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8716000,1575,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,5394000,1120,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6367000,1415,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,5080000,1270,Bommasandra,2,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,7209999,1311,Bellandur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,5700000,1210,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,12400000,1705,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,4900000,1187,Begur,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,30000000,3340,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,0,0,1
Bangalore,7888000,1045,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4866000,1179,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,8358000,1675,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6845000,1670,Kengeri,3,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6797000,1220,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,20000000,2502,Thanisandra,4,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,7105000,1438,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,8405000,1405,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,3506000,660,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7700000,1362,Yelahanka,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9369000,1735,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8716000,1575,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,5394000,1120,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6367000,1415,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,5080000,1270,Bommasandra,2,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,7209999,1311,Bellandur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,5700000,1210,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,12400000,1705,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,0,0,1
